# gemmi 0.7.5: number	hm	xhm	short	hall	operators
15	A 1 1 2/n	A 1 1 2/n	A112/n	-A 2ab	x,y,z;-x+1/2,-y+1/2,z;-x,-y,-z;x+1/2,y+1/2,-z;x,y+1/2,z+1/2;-x+1/2,-y,z+1/2;-x,-y+1/2,-z+1/2;x+1/2,y,-z+1/2
15	I 1 1 2/a	I 1 1 2/a	I112/a	-I 2a	x,y,z;-x+1/2,-y,z;-x,-y,-z;x+1/2,y,-z;x+1/2,y+1/2,z+1/2;-x,-y+1/2,z+1/2;-x+1/2,-y+1/2,-z+1/2;x,y+1/2,-z+1/2
15	B 2/b 1 1	B 2/b 1 1	B2/b11	-B 2xb	x,y,z;x,-y+1/2,-z;-x,-y,-z;-x,y+1/2,z;x+1/2,y,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y,-z+1/2;-x+1/2,y+1/2,z+1/2
15	C 2/n 1 1	C 2/n 1 1	C2/n11	-C 2xac	x,y,z;x+1/2,-y,-z+1/2;-x,-y,-z;-x+1/2,y,z+1/2;x+1/2,y+1/2,z;x,-y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;-x,y+1/2,z+1/2
15	I 2/c 1 1	I 2/c 1 1	I2/c11	-I 2xc	x,y,z;x,-y,-z+1/2;-x,-y,-z;-x,y,z+1/2;x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,-z;-x+1/2,-y+1/2,-z+1/2;-x+1/2,y+1/2,z
15	C 2/c 1 1	C 2/c 1 1	C2/c11	-C 2xc	x,y,z;x,-y,-z+1/2;-x,-y,-z;-x,y,z+1/2;x+1/2,y+1/2,z;x+1/2,-y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;-x+1/2,y+1/2,z+1/2
15	B 2/n 1 1	B 2/n 1 1	B2/n11	-B 2xab	x,y,z;x+1/2,-y+1/2,-z;-x,-y,-z;-x+1/2,y+1/2,z;x+1/2,y,z+1/2;x,-y+1/2,-z+1/2;-x+1/2,-y,-z+1/2;-x,y+1/2,z+1/2
15	I 2/b 1 1	I 2/b 1 1	I2/b11	-I 2xb	x,y,z;x,-y+1/2,-z;-x,-y,-z;-x,y+1/2,z;x+1/2,y+1/2,z+1/2;x+1/2,-y,-z+1/2;-x+1/2,-y+1/2,-z+1/2;-x+1/2,y,z+1/2
16	P 2 2 2	P 2 2 2	P222	P 2 2	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z
17	P 2 2 21	P 2 2 21	P2221	P 2c 2	x,y,z;-x,-y,z+1/2;x,-y,-z;-x,y,-z+1/2
17	P 21 2 2	P 21 2 2	P2122	P 2a 2a	x,y,z;-x+1/2,-y,z;x+1/2,-y,-z;-x,y,-z
17	P 2 21 2	P 2 21 2	P2212	P 2 2b	x,y,z;-x,-y,z;x,-y+1/2,-z;-x,y+1/2,-z
18	P 21 21 2	P 21 21 2	P21212	P 2 2ab	x,y,z;-x,-y,z;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z
18	P 2 21 21	P 2 21 21	P22121	P 2bc 2	x,y,z;-x,-y+1/2,z+1/2;x,-y,-z;-x,y+1/2,-z+1/2
18	P 21 2 21	P 21 2 21	P21221	P 2ac 2ac	x,y,z;-x+1/2,-y,z+1/2;x+1/2,-y,-z+1/2;-x,y,-z
19	P 21 21 21	P 21 21 21	P212121	P 2ac 2ab	x,y,z;-x+1/2,-y,z+1/2;x+1/2,-y+1/2,-z;-x,y+1/2,-z+1/2
20	C 2 2 21	C 2 2 21	C2221	C 2c 2	x,y,z;-x,-y,z+1/2;x,-y,-z;-x,y,-z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z+1/2
20	A 21 2 2	A 21 2 2	A2122	A 2a 2a	x,y,z;-x+1/2,-y,z;x+1/2,-y,-z;-x,y,-z;x,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-x,y+1/2,-z+1/2
20	B 2 21 2	B 2 21 2	B2212	B 2 2b	x,y,z;-x,-y,z;x,-y+1/2,-z;-x,y+1/2,-z;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/2
21	C 2 2 2	C 2 2 2	C222	C 2 2	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z
21	A 2 2 2	A 2 2 2	A222	A 2 2	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x,-y+1/2,-z+1/2;-x,y+1/2,-z+1/2
21	B 2 2 2	B 2 2 2	B222	B 2 2	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;x+1/2,-y,-z+1/2;-x+1/2,y,-z+1/2
22	F 2 2 2	F 2 2 2	F222	F 2 2	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x,-y+1/2,-z+1/2;-x,y+1/2,-z+1/2;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;x+1/2,-y,-z+1/2;-x+1/2,y,-z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z
23	I 2 2 2	I 2 2 2	I222	I 2 2	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/2
24	I 21 21 21	I 21 21 21	I212121	I 2b 2c	x,y,z;-x,-y+1/2,z;x,-y,-z+1/2;-x,y+1/2,-z+1/2;x+1/2,y+1/2,z+1/2;-x+1/2,-y,z+1/2;x+1/2,-y+1/2,-z;-x+1/2,y,-z
25	P m m 2	P m m 2	Pmm2	P 2 -2	x,y,z;-x,-y,z;-x,y,z;x,-y,z
25	P 2 m m	P 2 m m	P2mm	P -2 2	x,y,z;x,y,-z;x,-y,-z;x,-y,z
25	P m 2 m	P m 2 m	Pm2m	P -2 -2	x,y,z;x,y,-z;-x,y,z;-x,y,-z
26	P m c 21	P m c 21	Pmc21	P 2c -2	x,y,z;-x,-y,z+1/2;-x,y,z;x,-y,z+1/2
26	P c m 21	P c m 21	Pcm21	P 2c -2c	x,y,z;-x,-y,z+1/2;-x,y,z+1/2;x,-y,z
26	P 21 m a	P 21 m a	P21ma	P -2a 2a	x,y,z;x+1/2,y,-z;x+1/2,-y,-z;x,-y,z
26	P 21 a m	P 21 a m	P21am	P -2 2a	x,y,z;x,y,-z;x+1/2,-y,-z;x+1/2,-y,z
26	P b 21 m	P b 21 m	Pb21m	P -2 -2b	x,y,z;x,y,-z;-x,y+1/2,z;-x,y+1/2,-z
26	P m 21 b	P m 21 b	Pm21b	P -2b -2	x,y,z;x,y+1/2,-z;-x,y,z;-x,y+1/2,-z
27	P c c 2	P c c 2	Pcc2	P 2 -2c	x,y,z;-x,-y,z;-x,y,z+1/2;x,-y,z+1/2
27	P 2 a a	P 2 a a	P2aa	P -2a 2	x,y,z;x+1/2,y,-z;x,-y,-z;x+1/2,-y,z
27	P b 2 b	P b 2 b	Pb2b	P -2b -2b	x,y,z;x,y+1/2,-z;-x,y+1/2,z;-x,y,-z
28	P m a 2	P m a 2	Pma2	P 2 -2a	x,y,z;-x,-y,z;-x+1/2,y,z;x+1/2,-y,z
28	P b m 2	P b m 2	Pbm2	P 2 -2b	x,y,z;-x,-y,z;-x,y+1/2,z;x,-y+1/2,z
28	P 2 m b	P 2 m b	P2mb	P -2b 2	x,y,z;x,y+1/2,-z;x,-y,-z;x,-y+1/2,z
28	P 2 c m	P 2 c m	P2cm	P -2c 2	x,y,z;x,y,-z+1/2;x,-y,-z;x,-y,z+1/2
28	P c 2 m	P c 2 m	Pc2m	P -2c -2c	x,y,z;x,y,-z+1/2;-x,y,z+1/2;-x,y,-z
28	P m 2 a	P m 2 a	Pm2a	P -2a -2a	x,y,z;x+1/2,y,-z;-x+1/2,y,z;-x,y,-z
29	P c a 21	P c a 21	Pca21	P 2c -2ac	x,y,z;-x,-y,z+1/2;-x+1/2,y,z+1/2;x+1/2,-y,z
29	P b c 21	P b c 21	Pbc21	P 2c -2b	x,y,z;-x,-y,z+1/2;-x,y+1/2,z;x,-y+1/2,z+1/2
29	P 21 a b	P 21 a b	P21ab	P -2b 2a	x,y,z;x,y+1/2,-z;x+1/2,-y,-z;x+1/2,-y+1/2,z
29	P 21 c a	P 21 c a	P21ca	P -2ac 2a	x,y,z;x+1/2,y,-z+1/2;x+1/2,-y,-z;x,-y,z+1/2
29	P c 21 b	P c 21 b	Pc21b	P -2bc -2c	x,y,z;x,y+1/2,-z+1/2;-x,y,z+1/2;-x,y+1/2,-z
29	P b 21 a	P b 21 a	Pb21a	P -2a -2ab	x,y,z;x+1/2,y,-z;-x+1/2,y+1/2,z;-x,y+1/2,-z
30	P n c 2	P n c 2	Pnc2	P 2 -2bc	x,y,z;-x,-y,z;-x,y+1/2,z+1/2;x,-y+1/2,z+1/2
30	P c n 2	P c n 2	Pcn2	P 2 -2ac	x,y,z;-x,-y,z;-x+1/2,y,z+1/2;x+1/2,-y,z+1/2
30	P 2 n a	P 2 n a	P2na	P -2ac 2	x,y,z;x+1/2,y,-z+1/2;x,-y,-z;x+1/2,-y,z+1/2
30	P 2 a n	P 2 a n	P2an	P -2ab 2	x,y,z;x+1/2,y+1/2,-z;x,-y,-z;x+1/2,-y+1/2,z
30	P b 2 n	P b 2 n	Pb2n	P -2ab -2ab	x,y,z;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;-x,y,-z
30	P n 2 b	P n 2 b	Pn2b	P -2bc -2bc	x,y,z;x,y+1/2,-z+1/2;-x,y+1/2,z+1/2;-x,y,-z
31	P m n 21	P m n 21	Pmn21	P 2ac -2	x,y,z;-x+1/2,-y,z+1/2;-x,y,z;x+1/2,-y,z+1/2
31	P n m 21	P n m 21	Pnm21	P 2bc -2bc	x,y,z;-x,-y+1/2,z+1/2;-x,y+1/2,z+1/2;x,-y,z
31	P 21 m n	P 21 m n	P21mn	P -2ab 2ab	x,y,z;x+1/2,y+1/2,-z;x+1/2,-y+1/2,-z;x,-y,z
31	P 21 n m	P 21 n m	P21nm	P -2 2ac	x,y,z;x,y,-z;x+1/2,-y,-z+1/2;x+1/2,-y,z+1/2
31	P n 21 m	P n 21 m	Pn21m	P -2 -2bc	x,y,z;x,y,-z;-x,y+1/2,z+1/2;-x,y+1/2,-z+1/2
31	P m 21 n	P m 21 n	Pm21n	P -2ab -2	x,y,z;x+1/2,y+1/2,-z;-x,y,z;-x+1/2,y+1/2,-z
32	P b a 2	P b a 2	Pba2	P 2 -2ab	x,y,z;-x,-y,z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z
32	P 2 c b	P 2 c b	P2cb	P -2bc 2	x,y,z;x,y+1/2,-z+1/2;x,-y,-z;x,-y+1/2,z+1/2
32	P c 2 a	P c 2 a	Pc2a	P -2ac -2ac	x,y,z;x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;-x,y,-z
33	P n a 21	P n a 21	Pna21	P 2c -2n	x,y,z;-x,-y,z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z
33	P b n 21	P b n 21	Pbn21	P 2c -2ab	x,y,z;-x,-y,z+1/2;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z+1/2
33	P 21 n b	P 21 n b	P21nb	P -2bc 2a	x,y,z;x,y+1/2,-z+1/2;x+1/2,-y,-z;x+1/2,-y+1/2,z+1/2
