# gemmi 0.7.5: number	hm	xhm	short	hall	operators
58	P n n m	P n n m	Pnnm	-P 2 2n	x,y,z;-x,-y,z;x+1/2,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/2;-x,-y,-z;x,y,-z;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2
58	P m n n	P m n n	Pmnn	-P 2n 2	x,y,z;-x+1/2,-y+1/2,z+1/2;x,-y,-z;-x+1/2,y+1/2,-z+1/2;-x,-y,-z;x+1/2,y+1/2,-z+1/2;-x,y,z;x+1/2,-y+1/2,z+1/2
58	P n m n	P n m n	Pnmn	-P 2n 2n	x,y,z;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-x,y,-z;-x,-y,-z;x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;x,-y,z
59	P m m n	P m m n:1	Pmmn	P 2 2ab -1ab	x,y,z;-x,-y,z;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;-x,y,z;x,-y,z
59	P m m n	P m m n:2	Pmmn	-P 2ab 2a	x,y,z;-x+1/2,-y+1/2,z;x+1/2,-y,-z;-x,y+1/2,-z;-x,-y,-z;x+1/2,y+1/2,-z;-x+1/2,y,z;x,-y+1/2,z
59	P n m m	P n m m:1	Pnmm	P 2bc 2 -1bc	x,y,z;-x,-y+1/2,z+1/2;x,-y,-z;-x,y+1/2,-z+1/2;-x,-y+1/2,-z+1/2;x,y,-z;-x,y+1/2,z+1/2;x,-y,z
59	P n m m	P n m m:2	Pnmm	-P 2c 2bc	x,y,z;-x,-y,z+1/2;x,-y+1/2,-z+1/2;-x,y+1/2,-z;-x,-y,-z;x,y,-z+1/2;-x,y+1/2,z+1/2;x,-y+1/2,z
59	P m n m	P m n m:1	Pmnm	P 2ac 2ac -1ac	x,y,z;-x+1/2,-y,z+1/2;x+1/2,-y,-z+1/2;-x,y,-z;-x+1/2,-y,-z+1/2;x,y,-z;-x,y,z;x+1/2,-y,z+1/2
59	P m n m	P m n m:2	Pmnm	-P 2c 2a	x,y,z;-x,-y,z+1/2;x+1/2,-y,-z;-x+1/2,y,-z+1/2;-x,-y,-z;x,y,-z+1/2;-x+1/2,y,z;x+1/2,-y,z+1/2
60	P b c n	P b c n	Pbcn	-P 2n 2ab	x,y,z;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,-z;-x,y,-z+1/2;-x,-y,-z;x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z;x,-y,z+1/2
60	P c a n	P c a n	Pcan	-P 2n 2c	x,y,z;-x+1/2,-y+1/2,z+1/2;x,-y,-z+1/2;-x+1/2,y+1/2,-z;-x,-y,-z;x+1/2,y+1/2,-z+1/2;-x,y,z+1/2;x+1/2,-y+1/2,z
60	P n c a	P n c a	Pnca	-P 2a 2n	x,y,z;-x+1/2,-y,z;x+1/2,-y+1/2,-z+1/2;-x,y+1/2,-z+1/2;-x,-y,-z;x+1/2,y,-z;-x+1/2,y+1/2,z+1/2;x,-y+1/2,z+1/2
60	P n a b	P n a b	Pnab	-P 2bc 2n	x,y,z;-x,-y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,y,-z;-x,-y,-z;x,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,-y,z
60	P b n a	P b n a	Pbna	-P 2ac 2b	x,y,z;-x+1/2,-y,z+1/2;x,-y+1/2,-z;-x+1/2,y+1/2,-z+1/2;-x,-y,-z;x+1/2,y,-z+1/2;-x,y+1/2,z;x+1/2,-y+1/2,z+1/2
60	P c n b	P c n b	Pcnb	-P 2b 2ac	x,y,z;-x,-y+1/2,z;x+1/2,-y,-z+1/2;-x+1/2,y+1/2,-z+1/2;-x,-y,-z;x,y+1/2,-z;-x+1/2,y,z+1/2;x+1/2,-y+1/2,z+1/2
61	P b c a	P b c a	Pbca	-P 2ac 2ab	x,y,z;-x+1/2,-y,z+1/2;x+1/2,-y+1/2,-z;-x,y+1/2,-z+1/2;-x,-y,-z;x+1/2,y,-z+1/2;-x+1/2,y+1/2,z;x,-y+1/2,z+1/2
61	P c a b	P c a b	Pcab	-P 2bc 2ac	x,y,z;-x,-y+1/2,z+1/2;x+1/2,-y,-z+1/2;-x+1/2,y+1/2,-z;-x,-y,-z;x,y+1/2,-z+1/2;-x+1/2,y,z+1/2;x+1/2,-y+1/2,z
62	P n m a	P n m a	Pnma	-P 2ac 2n	x,y,z;-x+1/2,-y,z+1/2;x+1/2,-y+1/2,-z+1/2;-x,y+1/2,-z;-x,-y,-z;x+1/2,y,-z+1/2;-x+1/2,y+1/2,z+1/2;x,-y+1/2,z
62	P m n b	P m n b	Pmnb	-P 2bc 2a	x,y,z;-x,-y+1/2,z+1/2;x+1/2,-y,-z;-x+1/2,y+1/2,-z+1/2;-x,-y,-z;x,y+1/2,-z+1/2;-x+1/2,y,z;x+1/2,-y+1/2,z+1/2
62	P b n m	P b n m	Pbnm	-P 2c 2ab	x,y,z;-x,-y,z+1/2;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z+1/2;-x,-y,-z;x,y,-z+1/2;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z+1/2
62	P c m n	P c m n	Pcmn	-P 2n 2ac	x,y,z;-x+1/2,-y+1/2,z+1/2;x+1/2,-y,-z+1/2;-x,y+1/2,-z;-x,-y,-z;x+1/2,y+1/2,-z+1/2;-x+1/2,y,z+1/2;x,-y+1/2,z
62	P m c n	P m c n	Pmcn	-P 2n 2a	x,y,z;-x+1/2,-y+1/2,z+1/2;x+1/2,-y,-z;-x,y+1/2,-z+1/2;-x,-y,-z;x+1/2,y+1/2,-z+1/2;-x+1/2,y,z;x,-y+1/2,z+1/2
62	P n a m	P n a m	Pnam	-P 2c 2n	x,y,z;-x,-y,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z;-x,-y,-z;x,y,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z
63	C m c m	C m c m	Cmcm	-C 2c 2	x,y,z;-x,-y,z+1/2;x,-y,-z;-x,y,-z+1/2;-x,-y,-z;x,y,-z+1/2;-x,y,z;x,-y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z+1/2
63	C c m m	C c m m	Ccmm	-C 2c 2c	x,y,z;-x,-y,z+1/2;x,-y,-z+1/2;-x,y,-z;-x,-y,-z;x,y,-z+1/2;-x,y,z+1/2;x,-y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z
63	A m m a	A m m a	Amma	-A 2a 2a	x,y,z;-x+1/2,-y,z;x+1/2,-y,-z;-x,y,-z;-x,-y,-z;x+1/2,y,-z;-x+1/2,y,z;x,-y,z;x,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-x,y+1/2,-z+1/2;-x,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;x,-y+1/2,z+1/2
63	A m a m	A m a m	Amam	-A 2 2a	x,y,z;-x,-y,z;x+1/2,-y,-z;-x+1/2,y,-z;-x,-y,-z;x,y,-z;-x+1/2,y,z;x+1/2,-y,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/2;-x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2
63	B b m m	B b m m	Bbmm	-B 2 2b	x,y,z;-x,-y,z;x,-y+1/2,-z;-x,y+1/2,-z;-x,-y,-z;x,y,-z;-x,y+1/2,z;x,-y+1/2,z;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y,-z+1/2;x+1/2,y,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2
63	B m m b	B m m b	Bmmb	-B 2b 2	x,y,z;-x,-y+1/2,z;x,-y,-z;-x,y+1/2,-z;-x,-y,-z;x,y+1/2,-z;-x,y,z;x,-y+1/2,z;x+1/2,y,z+1/2;-x+1/2,-y+1/2,z+1/2;x+1/2,-y,-z+1/2;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y,-z+1/2;x+1/2,y+1/2,-z+1/2;-x+1/2,y,z+1/2;x+1/2,-y+1/2,z+1/2
64	C m c a	C m c a	Cmca	-C 2ac 2	x,y,z;-x+1/2,-y,z+1/2;x,-y,-z;-x+1/2,y,-z+1/2;-x,-y,-z;x+1/2,y,-z+1/2;-x,y,z;x+1/2,-y,z+1/2;x+1/2,y+1/2,z;-x,-y+1/2,z+1/2;x+1/2,-y+1/2,-z;-x,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;x,y+1/2,-z+1/2;-x+1/2,y+1/2,z;x,-y+1/2,z+1/2
64	C c m b	C c m b	Ccmb	-C 2ac 2ac	x,y,z;-x+1/2,-y,z+1/2;x+1/2,-y,-z+1/2;-x,y,-z;-x,-y,-z;x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;x,-y,z;x+1/2,y+1/2,z;-x,-y+1/2,z+1/2;x,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z;x,y+1/2,-z+1/2;-x,y+1/2,z+1/2;x+1/2,-y+1/2,z
64	A b m a	A b m a	Abma	-A 2ab 2ab	x,y,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,-z;-x,y,-z;-x,-y,-z;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;x,-y,z;x,y+1/2,z+1/2;-x+1/2,-y,z+1/2;x+1/2,-y,-z+1/2;-x,y+1/2,-z+1/2;-x,-y+1/2,-z+1/2;x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;x,-y+1/2,z+1/2
64	A c a m	A c a m	Acam	-A 2 2ab	x,y,z;-x,-y,z;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z;-x,-y,-z;x,y,-z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x+1/2,-y,-z+1/2;-x+1/2,y,-z+1/2;-x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;-x+1/2,y,z+1/2;x+1/2,-y,z+1/2
64	B b c m	B b c m	Bbcm	-B 2 2ab	x,y,z;-x,-y,z;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z;-x,-y,-z;x,y,-z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;x,-y+1/2,-z+1/2;-x,y+1/2,-z+1/2;-x+1/2,-y,-z+1/2;x+1/2,y,-z+1/2;-x,y+1/2,z+1/2;x,-y+1/2,z+1/2
64	B m a b	B m a b	Bmab	-B 2ab 2	x,y,z;-x+1/2,-y+1/2,z;x,-y,-z;-x+1/2,y+1/2,-z;-x,-y,-z;x+1/2,y+1/2,-z;-x,y,z;x+1/2,-y+1/2,z;x+1/2,y,z+1/2;-x,-y+1/2,z+1/2;x+1/2,-y,-z+1/2;-x,y+1/2,-z+1/2;-x+1/2,-y,-z+1/2;x,y+1/2,-z+1/2;-x+1/2,y,z+1/2;x,-y+1/2,z+1/2
65	C m m m	C m m m	Cmmm	-C 2 2	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x,-y,-z;x,y,-z;-x,y,z;x,-y,z;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z
65	A m m m	A m m m	Ammm	-A 2 2	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x,-y,-z;x,y,-z;-x,y,z;x,-y,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x,-y+1/2,-z+1/2;-x,y+1/2,-z+1/2;-x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;-x,y+1/2,z+1/2;x,-y+1/2,z+1/2
65	B m m m	B m m m	Bmmm	-B 2 2	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x,-y,-z;x,y,-z;-x,y,z;x,-y,z;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;x+1/2,-y,-z+1/2;-x+1/2,y,-z+1/2;-x+1/2,-y,-z+1/2;x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;x+1/2,-y,z+1/2
66	C c c m	C c c m	Cccm	-C 2 2c	x,y,z;-x,-y,z;x,-y,-z+1/2;-x,y,-z+1/2;-x,-y,-z;x,y,-z;-x,y,z+1/2;x,-y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2
66	A m a a	A m a a	Amaa	-A 2a 2	x,y,z;-x+1/2,-y,z;x,-y,-z;-x+1/2,y,-z;-x,-y,-z;x+1/2,y,-z;-x,y,z;x+1/2,-y,z;x,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;x,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/2;-x,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;-x,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2
66	B b m b	B b m b	Bbmb	-B 2b 2b	x,y,z;-x,-y+1/2,z;x,-y+1/2,-z;-x,y,-z;-x,-y,-z;x,y+1/2,-z;-x,y+1/2,z;x,-y,z;x+1/2,y,z+1/2;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,y,-z+1/2;-x+1/2,-y,-z+1/2;x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,-y,z+1/2
67	C m m a	C m m a	Cmma	-C 2a 2	x,y,z;-x+1/2,-y,z;x,-y,-z;-x+1/2,y,-z;-x,-y,-z;x+1/2,y,-z;-x,y,z;x+1/2,-y,z;x+1/2,y+1/2,z;-x,-y+1/2,z;x+1/2,-y+1/2,-z;-x,y+1/2,-z;-x+1/2,-y+1/2,-z;x,y+1/2,-z;-x+1/2,y+1/2,z;x,-y+1/2,z
67	C m m b	C m m b	Cmmb	-C 2a 2a	x,y,z;-x+1/2,-y,z;x+1/2,-y,-z;-x,y,-z;-x,-y,-z;x+1/2,y,-z;-x+1/2,y,z;x,-y,z;x+1/2,y+1/2,z;-x,-y+1/2,z;x,-y+1/2,-z;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z;x,y+1/2,-z;-x,y+1/2,z;x+1/2,-y+1/2,z
67	A b m m	A b m m	Abmm	-A 2b 2b	x,y,z;-x,-y+1/2,z;x,-y+1/2,-z;-x,y,-z;-x,-y,-z;x,y+1/2,-z;-x,y+1/2,z;x,-y,z;x,y+1/2,z+1/2;-x,-y,z+1/2;x,-y,-z+1/2;-x,y+1/2,-z+1/2;-x,-y+1/2,-z+1/2;x,y,-z+1/2;-x,y,z+1/2;x,-y+1/2,z+1/2
67	A c m m	A c m m	Acmm	-A 2 2b	x,y,z;-x,-y,z;x,-y+1/2,-z;-x,y+1/2,-z;-x,-y,-z;x,y,-z;-x,y+1/2,z;x,-y+1/2,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x,-y,-z+1/2;-x,y,-z+1/2;-x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;-x,y,z+1/2;x,-y,z+1/2
67	B m c m	B m c m	Bmcm	-B 2 2a	x,y,z;-x,-y,z;x+1/2,-y,-z;-x+1/2,y,-z;-x,-y,-z;x,y,-z;-x+1/2,y,z;x+1/2,-y,z;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;x,-y,-z+1/2;-x,y,-z+1/2;-x+1/2,-y,-z+1/2;x+1/2,y,-z+1/2;-x,y,z+1/2;x,-y,z+1/2
67	B m a m	B m a m	Bmam	-B 2a 2	x,y,z;-x+1/2,-y,z;x,-y,-z;-x+1/2,y,-z;-x,-y,-z;x+1/2,y,-z;-x,y,z;x+1/2,-y,z;x+1/2,y,z+1/2;-x,-y,z+1/2;x+1/2,-y,-z+1/2;-x,y,-z+1/2;-x+1/2,-y,-z+1/2;x,y,-z+1/2;-x+1/2,y,z+1/2;x,-y,z+1/2
68	C c c a	C c c a:1	Ccca	C 2 2 -1ac	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x+1/2,-y,-z+1/2;x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;x+1/2,-y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z;-x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;-x,y+1/2,z+1/2;x,-y+1/2,z+1/2
68	C c c a	C c c a:2	Ccca	-C 2a 2ac	x,y,z;-x+1/2,-y,z;x+1/2,-y,-z+1/2;-x,y,-z+1/2;-x,-y,-z;x+1/2,y,-z;-x+1/2,y,z+1/2;x,-y,z+1/2;x+1/2,y+1/2,z;-x,-y+1/2,z;x,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;x,y+1/2,-z;-x,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2
68	C c c b	C c c b:1	Cccb	C 2 2 -1ac	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x+1/2,-y,-z+1/2;x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;x+1/2,-y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z;-x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;-x,y+1/2,z+1/2;x,-y+1/2,z+1/2
68	C c c b	C c c b:2	Cccb	-C 2a 2c	x,y,z;-x+1/2,-y,z;x,-y,-z+1/2;-x+1/2,y,-z+1/2;-x,-y,-z;x+1/2,y,-z;-x,y,z+1/2;x+1/2,-y,z+1/2;x+1/2,y+1/2,z;-x,-y+1/2,z;x+1/2,-y+1/2,-z+1/2;-x,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z;x,y+1/2,-z;-x+1/2,y+1/2,z+1/2;x,-y+1/2,z+1/2
68	A b a a	A b a a:1	Abaa	A 2 2 -1ab	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x,-y+1/2,-z+1/2;-x,y+1/2,-z+1/2;-x+1/2,-y,-z+1/2;x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;x+1/2,-y,z+1/2
68	A b a a	A b a a:2	Abaa	-A 2a 2b	x,y,z;-x+1/2,-y,z;x,-y+1/2,-z;-x+1/2,y+1/2,-z;-x,-y,-z;x+1/2,y,-z;-x,y+1/2,z;x+1/2,-y+1/2,z;x,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;x,-y,-z+1/2;-x+1/2,y,-z+1/2;-x,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;-x,y,z+1/2;x+1/2,-y,z+1/2
68	A c a a	A c a a:1	Acaa	A 2 2 -1ab	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x,-y+1/2,-z+1/2;-x,y+1/2,-z+1/2;-x+1/2,-y,-z+1/2;x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;x+1/2,-y,z+1/2
68	A c a a	A c a a:2	Acaa	-A 2ab 2b	x,y,z;-x+1/2,-y+1/2,z;x,-y+1/2,-z;-x+1/2,y,-z;-x,-y,-z;x+1/2,y+1/2,-z;-x,y+1/2,z;x+1/2,-y,z;x,y+1/2,z+1/2;-x+1/2,-y,z+1/2;x,-y,-z+1/2;-x+1/2,y+1/2,-z+1/2;-x,-y+1/2,-z+1/2;x+1/2,y,-z+1/2;-x,y,z+1/2;x+1/2,-y+1/2,z+1/2
68	B b c b	B b c b:1	Bbcb	B 2 2 -1ab	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;x+1/2,-y,-z+1/2;-x+1/2,y,-z+1/2;-x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;-x,y+1/2,z+1/2;x,-y+1/2,z+1/2
68	B b c b	B b c b:2	Bbcb	-B 2ab 2b	x,y,z;-x+1/2,-y+1/2,z;x,-y+1/2,-z;-x+1/2,y,-z;-x,-y,-z;x+1/2,y+1/2,-z;-x,y+1/2,z;x+1/2,-y,z;x+1/2,y,z+1/2;-x,-y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-x,y,-z+1/2;-x+1/2,-y,-z+1/2;x,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;x,-y,z+1/2
68	B b a b	B b a b:1	Bbab	B 2 2 -1ab	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;x+1/2,-y,-z+1/2;-x+1/2,y,-z+1/2;-x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;-x,y+1/2,z+1/2;x,-y+1/2,z+1/2
68	B b a b	B b a b:2	Bbab	-B 2b 2ab	x,y,z;-x,-y+1/2,z;x+1/2,-y+1/2,-z;-x+1/2,y,-z;-x,-y,-z;x,y+1/2,-z;-x+1/2,y+1/2,z;x+1/2,-y,z;x+1/2,y,z+1/2;-x+1/2,-y+1/2,z+1/2;x,-y+1/2,-z+1/2;-x,y,-z+1/2;-x+1/2,-y,-z+1/2;x+1/2,y+1/2,-z+1/2;-x,y+1/2,z+1/2;x,-y,z+1/2
69	F m m m	F m m m	Fmmm	-F 2 2	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x,-y,-z;x,y,-z;-x,y,z;x,-y,z;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x,-y+1/2,-z+1/2;-x,y+1/2,-z+1/2;-x,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;-x,y+1/2,z+1/2;x,-y+1/2,z+1/2;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;x+1/2,-y,-z+1/2;-x+1/2,y,-z+1/2;-x+1/2,-y,-z+1/2;x+1/2,y,-z+1/2;-x+1/2,y,z+1/2;x+1/2,-y,z+1/2;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z;x+1/2,y+1/2,-z;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z
70	F d d d	F d d d:1	Fddd	F 2 2 -1d	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x+1/4,-y+1/4,-z+1/4;x+1/4,y+1/4,-z+1/4;-x+1/4,y+1/4,z+1/4;x+1/4,-y+1/4,z+1/4;x,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x,-y+1/2,-z+1/2;-x,y+1/2,-z+1/2;-x+1/4,-y+3/4,-z+3/4;x+1/4,y+3/4,-z+3/4;-x+1/4,y+3/4,z+3/4;x+1/4,-y+3/4,z+3/4;x+1/2,y,z+1/2;-x+1/2,-y,z+1/2;x+1/2,-y,-z+1/2;-x+1/2,y,-z+1/2;-x+3/4,-y+1/4,-z+3/4;x+3/4,y+1/4,-z+3/4;-x+3/4,y+1/4,z+3/4;x+3/4,-y+1/4,z+3/4;x+1/2,y+1/2,z;-x+1/2,-y+1/2,z;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z;-x+3/4,-y+3/4,-z+1/4;x+3/4,y+3/4,-z+1/4;-x+3/4,y+3/4,z+1/4;x+3/4,-y+3/4,z+1/4
70	F d d d	F d d d:2	Fddd	-F 2uv 2vw	x,y,z;-x+1/4,-y+1/4,z;x,-y+1/4,-z+1/4;-x+1/4,y,-z+1/4;-x,-y,-z;x+3/4,y+3/4,-z;-x,y+3/4,z+3/4;x+3/4,-y,z+3/4;x,y+1/2,z+1/2;-x+1/4,-y+3/4,z+1/2;x,-y+3/4,-z+3/4;-x+1/4,y+1/2,-z+3/4;-x,-y+1/2,-z+1/2;x+3/4,y+1/4,-z+1/2;-x,y+1/4,z+1/4;x+3/4,-y+1/2,z+1/4;x+1/2,y,z+1/2;-x+3/4,-y+1/4,z+1/2;x+1/2,-y+1/4,-z+3/4;-x+3/4,y,-z+3/4;-x+1/2,-y,-z+1/2;x+1/4,y+3/4,-z+1/2;-x+1/2,y+3/4,z+1/4;x+1/4,-y,z+1/4;x+1/2,y+1/2,z;-x+3/4,-y+3/4,z;x+1/2,-y+3/4,-z+1/4;-x+3/4,y+1/2,-z+1/4;-x+1/2,-y+1/2,-z;x+1/4,y+1/4,-z;-x+1/2,y+1/4,z+3/4;x+1/4,-y+1/2,z+3/4
71	I m m m	I m m m	Immm	-I 2 2	x,y,z;-x,-y,z;x,-y,-z;-x,y,-z;-x,-y,-z;x,y,-z;-x,y,z;x,-y,z;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-x+1/2,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;x+1/2,-y+1/2,z+1/2
72	I b a m	I b a m	Ibam	-I 2 2c	x,y,z;-x,-y,z;x,-y,-z+1/2;-x,y,-z+1/2;-x,-y,-z;x,y,-z;-x,y,z+1/2;x,-y,z+1/2;x+1/2,y+1/2,z+1/2;-x+1/2,-y+1/2,z+1/2;x+1/2,-y+1/2,-z;-x+1/2,y+1/2,-z;-x+1/2,-y+1/2,-z+1/2;x+1/2,y+1/2,-z+1/2;-x+1/2,y+1/2,z;x+1/2,-y+1/2,z
72	I m c b	I m c b	Imcb	-I 2a 2	x,y,z;-x+1/2,-y,z;x,-y,-z;-x+1/2,y,-z;-x,-y,-z;x+1/2,y,-z;-x,y,z;x+1/2,-y,z;x+1/2,y+1/2,z+1/2;-x,-y+1/2,z+1/2;x+1/2,-y+1/2,-z+1/2;-x,y+1/2,-z+1/2;-x+1/2,-y+1/2,-z+1/2;x,y+1/2,-z+1/2;-x+1/2,y+1/2,z+1/2;x,-y+1/2,z+1/2
